Mod Name,Texture File Name,Average Hex Code
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,amethyst_ore.png,#d1b6b3
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ash_block.png,#2c2c2c
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,bamboo_thatching.png,#8eb675
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,biome_block.png,#c2c495
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,blue_coral.png,#79a0dd
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,cherry_log.png,#64382b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,cherry_log_top.png,#7b2d27
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,cherry_planks.png,#752723
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,coarse_dirt_loamy.png,#4b3d37
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,coarse_dirt_sandy.png,#8a774e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,coarse_dirt_silty.png,#7f7465
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,crystal.png,#633a83
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dampgrass.png,#7e8a77
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,deadgrass.png,#5c523d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,deadleafpile.png,#7f603d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dead_log.png,#3f3930
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dead_log_top.png,#796c57
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dirt_loamy.png,#54453f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dirt_sandy.png,#9b8557
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dirt_silty.png,#8e8271
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,dried_sand.png,#67624e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ebony_log.png,#5e5240
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ebony_log_top.png,#34302a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ebony_planks.png,#272523
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,empty_honeycomb_block.png,#94703a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ethereal_log.png,#5e6e49
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ethereal_log_top.png,#618f70
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ethereal_planks.png,#5a8d71
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,eucalyptus_log.png,#836d4b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,eucalyptus_log_top.png,#977f59
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,eucalyptus_planks.png,#9b835c
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_dry_loamy.png,#463630
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_dry_sandy.png,#856e3f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_dry_silty.png,#776a59
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_moist_loamy.png,#2a1d17
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_moist_sandy.png,#58441b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,farmland_moist_silty.png,#4a3f30
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,filled_honeycomb_block.png,#be8d42
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,fir_log.png,#615545
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,fir_log_top.png,#928670
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,fir_planks.png,#938973
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,flesh.png,#a73e3c
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,glowing_coral.png,#a468ed
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_daisy_side.png,#55673d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_daisy_side_snowed.png,#bcb4aa
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_daisy_top.png,#4a7c49
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_loamy_path_side.png,#665342
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_loamy_side.png,#51423c
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_loamy_side_snowed.png,#6d635e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_origin_side.png,#7e6b41
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_origin_side_snowed.png,#957861
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_origin_top.png,#75b049
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_sandy_path_side.png,#9f8756
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_sandy_side.png,#968055
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_sandy_side_snowed.png,#a69672
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_side_overlay.png,#8f8f8f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_silty_path_side.png,#95856b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_silty_side.png,#8a7e6e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_silty_side_snowed.png,#9c9486
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,grass_top.png,#939393
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,hard_ice.png,#afbad6
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,hellbark_log.png,#694f3b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,hellbark_log_top.png,#a97d4d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,hellbark_planks.png,#a57946
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,hive_block.png,#c8ae68
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,honeycomb_block.png,#a57b3e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,honey_block.png,#fdaf35
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,jacaranda_log.png,#6f5f59
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,jacaranda_log_top.png,#b9a197
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,jacaranda_planks.png,#b09a91
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,leafpile.png,#919191
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,magic_log.png,#5e636b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,magic_log_top.png,#4e6aa1
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,magic_planks.png,#4463a2
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mahogany_log.png,#6a5040
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mahogany_log_top.png,#a6706a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mahogany_planks.png,#a66e6b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,malachite_block.png,#26896b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,malachite_ore.png,#6c8580
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mangrove_log.png,#96836d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mangrove_log_top.png,#d2c4af
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mangrove_planks.png,#d2c8b5
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mud.png,#493527
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mud_brick_block.png,#5b4435
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,mycelial_netherrack_side.png,#633f40
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,orange_coral.png,#eba74f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,overgrown_netherrack_side.png,#64402d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,overgrown_netherrack_top.png,#6e6931
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,overgrown_stone_side.png,#7a7a7a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,overgrown_stone_side_overlay.png,#929292
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,overgrown_stone_side_snowed.png,#adb1b1
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,palm_log.png,#654b2e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,palm_log_top.png,#a77739
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,palm_planks.png,#a97837
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,peridot_block.png,#9cbc5e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,peridot_ore.png,#7e8471
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,pine_log.png,#5b4837
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,pine_log_top.png,#967255
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,pine_planks.png,#987457
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,pink_coral.png,#ff8a8d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,redwood_log.png,#683f27
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,redwood_log_top.png,#934e30
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,redwood_planks.png,#8c492e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,root.png,#80633f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ruby_block.png,#e15e79
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,ruby_ore.png,#896d77
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,sacred_oak_log.png,#585934
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,sacred_oak_log_top.png,#8a7b4a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,sacred_oak_planks.png,#8f814e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,sapphire_block.png,#4d96d1
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,sapphire_ore.png,#6e7c86
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,spectral_moss_side.png,#baa47d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,spectral_moss_top.png,#995247
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,tanzanite_block.png,#8250e4
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,tanzanite_ore.png,#786b85
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium.png,#cdb5aa
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_bamboo.png,#735e37
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_beach.png,#d3c996
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_cactus.png,#7e7540
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_dead.png,#624f37
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_ender.png,#a97e64
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_fern.png,#61643c
