akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_1.png,#775a4d,New Brown Brick Brick
akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_2.png,#86624c,New Brown Brick Brick
akidecor-0.1.3.3-1.12.2.jar,new_brown_brick_brick_3.png,#866a4b,New Brown Brick Brick
akidecor-0.1.3.3-1.12.2.jar,ochre_grass.png,#a48d3f,Ochre Grass
akidecor-0.1.3.3-1.12.2.jar,oxidized_chiseled_copper.png,#53a184,Oxidized Chiseled Copper
akidecor-0.1.3.3-1.12.2.jar,pale_oak_log.png,#574d4b,Pale Oak
akidecor-0.1.3.3-1.12.2.jar,pale_oak_log_top.png,#c6bdbb,Pale Oak Log
akidecor-0.1.3.3-1.12.2.jar,pale_oak_planks.png,#e3d9d8,Pale Oak
akidecor-0.1.3.3-1.12.2.jar,polished_tuff.png,#616863,Polished Tuff
akidecor-0.1.3.3-1.12.2.jar,portland_stone.png,#dcd9d4,Portland Stone
akidecor-0.1.3.3-1.12.2.jar,portland_stone_brick.png,#b7b3b1,Portland Stone Brick
akidecor-0.1.3.3-1.12.2.jar,portland_stone_large_brick.png,#cbc6c3,Portland Stone Large Brick
akidecor-0.1.3.3-1.12.2.jar,raw_iron.png,#a6876b,Raw Iron
akidecor-0.1.3.3-1.12.2.jar,rich_clay_brick.png,#776358,Rich Clay Brick
akidecor-0.1.3.3-1.12.2.jar,rich_grass.png,#7e9136,Rich Grass
akidecor-0.1.3.3-1.12.2.jar,rick_dge.png,#b38f75,Rick Dge
akidecor-0.1.3.3-1.12.2.jar,roadway.png,#2d2c2c,Roadway
akidecor-0.1.3.3-1.12.2.jar,sanded_brick.png,#95856f,Sanded Brick
akidecor-0.1.3.3-1.12.2.jar,sanded_large_bricks.png,#887d68,Sanded Large
akidecor-0.1.3.3-1.12.2.jar,smooth_basalt.png,#48484e,Smooth Basalt
akidecor-0.1.3.3-1.12.2.jar,smooth_highland_tuff.png,#4d3f37,Smooth Highland Tuff
akidecor-0.1.3.3-1.12.2.jar,smooth_lightstone.png,#fcd786,Smooth Lightstone
akidecor-0.1.3.3-1.12.2.jar,smooth_midhurst_stone.png,#aca7a6,Smooth Midhurst Stone
akidecor-0.1.3.3-1.12.2.jar,sooted_brick.png,#7f554a,Sooted Brick
akidecor-0.1.3.3-1.12.2.jar,sootier_brick.png,#553a33,Sootier Brick
akidecor-0.1.3.3-1.12.2.jar,stone_andesite.png,#888888,Stone Andesite
akidecor-0.1.3.3-1.12.2.jar,stone_diorite.png,#bcbcbc,Stone Diorite
akidecor-0.1.3.3-1.12.2.jar,stone_granite.png,#956755,Stone Granite
akidecor-0.1.3.3-1.12.2.jar,stripped_bamboo.png,#c1ad50,Stripped Bamboo
akidecor-0.1.3.3-1.12.2.jar,stripped_bamboo_top.png,#b6a34d,Stripped Bamboo
